metode,sl_atr,tp_atr,filter,trades,win_rate,profit_factor,net_r,max_dd_r,growth_1pct,avg_r,buy,sell
breakout,1.0,1.0,-,33,0.45454545454545453,0.7788888888888889,-3.98,-7.0,-0.04055610021131606,-0.1206060606060606,18,15
breakout,1.0,1.0,EMA50,29,0.5172413793103449,1.0014285714285713,0.02,-4.0,-0.0011993701819730251,0.0006896551724137932,11,18
breakout,1.0,1.5,-,43,0.3953488372093023,0.9238461538461539,-1.98,-8.0,-0.022630942178475943,-0.046046511627906975,22,21
breakout,1.0,1.5,EMA50,63,0.4603174603174603,1.2358823529411767,8.02,-8.0,0.07828272998062724,0.1273015873015873,33,30
breakout,1.5,2.0,-,37,0.5135135135135135,1.3344444444444443,6.019999999999995,-6.000000000000001,0.05940562120373327,0.16270270270270265,23,14
breakout,1.5,2.0,EMA50,38,0.4473684210526316,1.0168253968253969,0.3533333333333317,-6.666666666666668,0.001067124051598256,0.009298245614035045,26,12
momentum,1.0,1.0,-,39,0.5384615384615384,1.1122222222222222,2.02,-5.0,0.01846903299689462,0.05179487179487179,24,15
momentum,1.0,1.0,EMA50,28,0.5357142857142857,1.0784615384615384,1.02,-4.0,0.008889525068714432,0.03642857142857143,19,9
momentum,1.0,1.5,-,68,0.4411764705882353,1.1460526315789472,5.55,-6.5,0.051646335624938366,0.08161764705882353,40,28
momentum,1.0,1.5,EMA50,50,0.5,1.442,11.05,-4.0,0.11245376934975426,0.221,38,12
momentum,1.5,2.0,-,71,0.5211267605633803,1.450980392156863,15.333333333333336,-5.0,0.15993268206499134,0.21596244131455386,43,28
momentum,1.5,2.0,EMA50,53,0.6226415094339622,2.2,23.999999999999996,-3.0,0.2662829091253853,0.4528301886792451,40,13
breakout_po,1.0,1.0,-,50,0.7,2.2680000000000002,19.02,-3.0,0.20653931459373553,0.3804,26,24
breakout_po,1.0,1.0,EMA50,54,0.5370370370370371,1.1208,3.02,-5.0,0.02793388170181732,0.05592592592592593,39,15
breakout_po,1.0,1.5,-,78,0.41025641025641024,1.0113043478260868,0.52,-13.0,-0.0005683203968831485,0.006666666666666667,40,38
breakout_po,1.0,1.5,EMA50,66,0.4090909090909091,1.0005128205128206,0.02,-11.0,-0.004648356242000218,0.00030303030303030303,45,21
breakout_po,1.5,2.0,-,140,0.4642857142857143,1.1673850574712643,12.426666666666666,-9.000000000000004,0.12166254628484352,0.08876190476190471,80,60
breakout_po,1.5,2.0,EMA50,113,0.4424778761061947,1.071122536418166,4.426666666666663,-7.906666666666667,0.03742079699994605,0.03917404129793503,73,40
